family,regime,group,n,label,mean,ci_lo,ci_hi,seeds
bernoulli,beta0,specialist,1000,cluster_head_router,0.8329659999999999,0.83219095,0.8337661750000002,1000
bernoulli,beta0,specialist,1000000,cluster_head_router,0.8372049999999999,0.835599375,0.8387899999999999,200
bernoulli,beta0,specialist,10,cluster_head_router,0.71887,0.7163535000000001,0.7214960499999999,1000
bernoulli,beta0,specialist,10000,cluster_head_router,0.8353590000000001,0.8345997999999999,0.83618115,1000
bernoulli,beta0,specialist,10000000,cluster_head_router,0.83844,0.83576,0.8411107499999999,100
bernoulli,beta0,specialist,100,cluster_head_router,0.78854,0.786724925,0.7900793,1000
bernoulli,beta0,specialist,100000,cluster_head_router,0.836692,0.8355558,0.8377962000000001,500
bernoulli,beta0,specialist,1000,cnp_self_bid,0.835004,0.8342518,0.83574205,1000
bernoulli,beta0,specialist,1000000,cnp_self_bid,0.8384349999999999,0.836884625,0.8400252500000001,200
bernoulli,beta0,specialist,10,cnp_self_bid,0.7176880000000001,0.715174825,0.7203040999999998,1000
bernoulli,beta0,specialist,10000,cnp_self_bid,0.8364389999999999,0.8357468499999999,0.8371369999999999,1000
bernoulli,beta0,specialist,10000000,cnp_self_bid,0.8381400000000001,0.8356597499999998,0.84062025,100
bernoulli,beta0,specialist,100,cnp_self_bid,0.8240629999999999,0.823003475,0.8251480499999999,1000
bernoulli,beta0,specialist,100000,cnp_self_bid,0.837018,0.8359678499999998,0.8381263999999999,500
bernoulli,beta0,specialist,1000,declared_argmax,0.837092,0.8363677249999999,0.837877,1000
bernoulli,beta0,specialist,1000000,declared_argmax,0.837615,0.83592,0.8393201250000001,200
bernoulli,beta0,specialist,10,declared_argmax,0.7188150000000001,0.7163135250000001,0.7214313250000001,1000
bernoulli,beta0,specialist,10000,declared_argmax,0.8369289999999998,0.8361319,0.8376691,1000
bernoulli,beta0,specialist,10000000,declared_argmax,0.8412099999999998,0.8386999999999999,0.8435204999999997,100
bernoulli,beta0,specialist,100,declared_argmax,0.8262699999999998,0.825168975,0.8273660999999999,1000
bernoulli,beta0,specialist,100000,declared_argmax,0.8375139999999999,0.83642365,0.838586,500
bernoulli,beta0,specialist,1000,declared_softmax,0.7652940000000001,0.7644548999999999,0.7661491249999999,1000
bernoulli,beta0,specialist,1000000,declared_softmax,0.76398,0.7623449999999999,0.7657251249999999,200
bernoulli,beta0,specialist,10,declared_softmax,0.6773060000000001,0.6746667249999999,0.6799363499999999,1000
bernoulli,beta0,specialist,10000,declared_softmax,0.765862,0.76502185,0.766682,1000
bernoulli,beta0,specialist,10000000,declared_softmax,0.76788,0.76519975,0.7705805,100
bernoulli,beta0,specialist,100,declared_softmax,0.756823,0.75571395,0.7579180249999998,1000
bernoulli,beta0,specialist,100000,declared_softmax,0.765512,0.7643498999999999,0.7666081,500
bernoulli,beta0,specialist,1000,disrouter_cascade,0.7263719999999999,0.7249030000000001,0.7277231,1000
bernoulli,beta0,specialist,1000000,disrouter_cascade,0.6680750000000001,0.66557475,0.6707452500000001,200
bernoulli,beta0,specialist,10,disrouter_cascade,0.684106,0.681480725,0.6866457749999999,1000
bernoulli,beta0,specialist,10000,disrouter_cascade,0.690716,0.6895998499999999,0.6918850999999999,1000
bernoulli,beta0,specialist,10000000,disrouter_cascade,0.63991,0.6365097499999999,0.6433905,100
bernoulli,beta0,specialist,100,disrouter_cascade,0.746477,0.7450254,0.7478811250000001,1000
bernoulli,beta0,specialist,100000,disrouter_cascade,0.679754,0.67828795,0.6812442000000001,500
bernoulli,beta0,specialist,1000,flat_nsw_router,0.70741,0.704923975,0.710093575,1000
bernoulli,beta0,specialist,1000000,flat_nsw_router,0.6806299999999998,0.67491,0.68637125,200
bernoulli,beta0,specialist,10,flat_nsw_router,0.633283,0.6300817500000001,0.6365491750000001,1000
bernoulli,beta0,specialist,10000,flat_nsw_router,0.712289,0.7097329250000001,0.71488055,1000
bernoulli,beta0,specialist,10000000,flat_nsw_router,0.66275,0.6544795000000001,0.6710910000000001,100
bernoulli,beta0,specialist,100,flat_nsw_router,0.688456,0.68546455,0.69141005,1000
bernoulli,beta0,specialist,100000,flat_nsw_router,0.693394,0.6893100000000001,0.6973326,500
bernoulli,beta0,specialist,1000,flat_probe_argmax_frozen,0.699307,0.6965699249999999,0.7023600999999999,1000
bernoulli,beta0,specialist,1000000,flat_probe_argmax_frozen,0.70773,0.7009943750000001,0.7143802499999999,200
bernoulli,beta0,specialist,10,flat_probe_argmax_frozen,0.6342770000000001,0.6309598500000001,0.6376090750000001,1000
bernoulli,beta0,specialist,10000,flat_probe_argmax_frozen,0.699031,0.6960340250000001,0.702042725,1000
bernoulli,beta0,specialist,10000000,flat_probe_argmax_frozen,0.69824,0.6893889999999998,0.70666275,100
bernoulli,beta0,specialist,100,flat_probe_argmax_frozen,0.6875229999999999,0.6846809,0.690425175,1000
bernoulli,beta0,specialist,100000,flat_probe_argmax_frozen,0.70268,0.6989635999999999,0.70640835,500
bernoulli,beta0,specialist,1000,flat_probe_argmax_online,0.766967,0.765943975,0.767942125,1000
